,Title,Content,Clean Content,Review,Rating,Sentiment,Year,Month,Day
160,fantastic multimedia and gaming speakers,"i bought those to replace a set of creative gigaworks t40 ii's and creative t100's as i felt something was missing from the sound so i looked at those monitor speakers as they were discounted...i'm not an audiophile but i do like good sound and these speakers have it in spades. as soon as i swapped my old speakers off my desk, i was amazed by how much clearer and well better defined the sound was...although i dabble a bit with a midi controller with virtual instruments sometimes, i'm not a musician but i can see those being of use to some people who do create music on computer...the most surprising thing of all was the price, they were around the same price as the gigaworks t40 ii's when i bought them and cheaper than the creative t100s. although i'll keep a hold of the t40s as a spare set, i'll be getting rid of the t100s as i was never satisfied with them. for the price, this set are excellent value...i've tried them in games as well, i can hear footsteps and voices around buildings in some fps games that i've heard via headphones but never heard before on speakers so clearly. to sum it up, i'm very pleased with them!","bought replace set creative gigaworks t40 ii's creative t100's felt something missing sound looked monitor speakers discounted...i'm not audiophile like good sound speakers spades. soon swapped old speakers desk, amazed much clearer well better defined sound was...although dabble bit midi controller virtual instruments sometimes, i'm not musician see use people create music computer...the surprising thing price, around price gigaworks t40 ii's bought cheaper creative t100s. although i'll keep hold t40s spare set, i'll getting rid t100s never satisfied them. price, set excellent value...i've tried games well, hear footsteps voices around buildings fps games i've heard via headphones never heard speakers clearly. sum up, i'm pleased them!","fantastic multimedia and gaming speakers. bought replace set creative gigaworks t40 ii's creative t100's felt something missing sound looked monitor speakers discounted...i'm not audiophile like good sound speakers spades. soon swapped old speakers desk, amazed much clearer well better defined sound was...although dabble bit midi controller virtual instruments sometimes, i'm not musician see use people create music computer...the surprising thing price, around price gigaworks t40 ii's bought cheaper creative t100s. although i'll keep hold t40s spare set, i'll getting rid t100s never satisfied them. price, set excellent value...i've tried games well, hear footsteps voices around buildings fps games i've heard via headphones never heard speakers clearly. sum up, i'm pleased them!",5,Positive,2022,7,14
161,utter bargain,"i recently got back in music creation and bought a daw. up until then i relied on headphones which were great. but then i read it's best to have a 2nd reference, ie audio monitors for checking levels and such..didn't want to spend too much in case it became another one of many fads..i'm driving these with a presonus 24c audio interface, wired with singles trs cables instead of the rca cable they provide..for the money they sound pretty darn good, and loud too. the pack a lot of punch for there size and double up as great gaming speakers...the icing on the cake for me was buying a used/returned pair off amazon marketplace for £66. they were described as having a deep scratch but when i checked them over. nothing, immaculate.","recently got back music creation bought daw. relied headphones great. read best 2nd reference, ie audio monitors checking levels such..didn't want spend much case became another one many fads..i'm driving presonus 24c audio interface, wired singles trs cables instead rca cable provide..for money sound pretty darn good, loud too. pack lot punch size double great gaming speakers...the icing cake buying used/returned pair amazon marketplace £66. described deep scratch checked over. nothing, immaculate.","utter bargain. recently got back music creation bought daw. relied headphones great. read best 2nd reference, ie audio monitors checking levels such..didn't want spend much case became another one many fads..i'm driving presonus 24c audio interface, wired singles trs cables instead rca cable provide..for money sound pretty darn good, loud too. pack lot punch size double great gaming speakers...the icing cake buying used/returned pair amazon marketplace £66. described deep scratch checked over. nothing, immaculate.",5,Positive,2022,7,10
162,great sound with an intense blue led.,"easily the best sound quality you'll find at this price point and for a speaker of this size. great build quality, everything feels well made and solid, all the dials and connections are good. only thing that sucks is the unnecessarily bright blue power led on the front of them.","easily best sound quality find price point speaker size. great build quality, everything feels well made solid, dials connections good. thing sucks unnecessarily bright blue power led front them.","great sound with an intense blue led.. easily best sound quality find price point speaker size. great build quality, everything feels well made solid, dials connections good. thing sucks unnecessarily bright blue power led front them.",5,Positive,2022,7,9
163,"nice, great speaker","small but mighty, (like me) value for money, (also like me)","small mighty, (like me) value money, (also like me)","nice, great speaker. small mighty, (like me) value money, (also like me)",5,Positive,2022,7,7
164,good value budget sub,"i wasn't expecting much from this device, as there is a good quality adam sub in my main studio that i've owned for 6+ years. this was purchased for my decks setup, and i have to say i am quite impressed...great value for money, and it fits nicely into an ikea kallax square, which is very convenient for hiding it away...how could they improve it? put a volume control on the front","wasn't expecting much device, good quality adam sub main studio i've owned 6+ years. purchased decks setup, say quite impressed...great value money, fits nicely ikea kallax square, convenient hiding away...how improve it? put volume control front","good value budget sub. wasn't expecting much device, good quality adam sub main studio i've owned 6+ years. purchased decks setup, say quite impressed...great value money, fits nicely ikea kallax square, convenient hiding away...how improve it? put volume control front",4,Positive,2022,7,4
165,they sound great,very clear and balanced sound,clear balanced sound,they sound great. clear balanced sound,5,Positive,2022,6,30
166,what a surprise.,i didn't expect this. i wanted some smaller monitors for general use when i'm not running my full rig in the studio. these things gave me the biggest surprise for a long time. for the size and price they are stunning.,didn't expect this. wanted smaller monitors general use i'm not running full rig studio. things gave biggest surprise long time. size price stunning.,what a surprise.. didn't expect this. wanted smaller monitors general use i'm not running full rig studio. things gave biggest surprise long time. size price stunning.,5,Positive,2022,6,25
167,awesome! general balanced sound!,,,awesome! general balanced sound!. ,5,Positive,2022,6,24
168,superb audio for the size,great clear audio for gain staging & mixing. and love the bluetooth and multiple inputs. very versatile.,great clear audio gain staging & mixing. love bluetooth multiple inputs. versatile.,superb audio for the size. great clear audio gain staging & mixing. love bluetooth multiple inputs. versatile.,5,Positive,2022,6,23
169,great speakers,use them with my sonifex so2 to monitor the output - great sounding speakers.,use sonifex so2 monitor output - great sounding speakers.,great speakers. use sonifex so2 monitor output - great sounding speakers.,5,Positive,2022,6,18
170,passive speaker not working,"i bought the speakers to use as a monitor for music production..unfortunately there was an issue with the left passive speaker.as i was unable to make it work..i've been in contact with presonus audio electronics seeking for their technical support, but they couldn't resolve the issue..eventually i was advised to return the item to amazon..i'm currently waiting to be refunded","bought speakers use monitor music production..unfortunately issue left passive speaker.as unable make work..i've contact presonus audio electronics seeking technical support, couldn't resolve issue..eventually advised return item amazon..i'm currently waiting refunded","passive speaker not working. bought speakers use monitor music production..unfortunately issue left passive speaker.as unable make work..i've contact presonus audio electronics seeking technical support, couldn't resolve issue..eventually advised return item amazon..i'm currently waiting refunded",2,Negative,2022,6,13
171,absolutely wonderful speakers highly recommended,sound quality is excellent and set up in five minutes. don’t hesitate…..superb bargain,sound quality excellent set five minutes. don’t hesitate…..superb bargain,absolutely wonderful speakers highly recommended. sound quality excellent set five minutes. don’t hesitate…..superb bargain,5,Positive,2022,6,12
172,not great,sound quality way below what i expected. weak bass and overall not a great sound. disappointed!,sound quality way expected. weak bass overall not great sound. disappointed!,not great. sound quality way expected. weak bass overall not great sound. disappointed!,1,Negative,2022,6,6
173,really great,"spent weeks researching what monitors to buy and went through loads of different models. i was going to get the 3.5s but went for the 4.5 and i'm glad i did...i use them for playing my guitar through amp sims, general music listening and watching videos and they're really very good. cannot fault them at all. i haven't rated them in the review on the gaming side of it as i always use a headset for that.","spent weeks researching monitors buy went loads different models. going get 3.5s went 4.5 i'm glad did...i use playing guitar amp sims, general music listening watching videos they're really good. cannot fault all. haven't rated review gaming side always use headset that.","really great. spent weeks researching monitors buy went loads different models. going get 3.5s went 4.5 i'm glad did...i use playing guitar amp sims, general music listening watching videos they're really good. cannot fault all. haven't rated review gaming side always use headset that.",5,Positive,2022,6,1
174,"i cannot explain how good on every level these speakers are. wow, sound, wow.","incredible, beats all other brands ive had pioneer, mackie etc etc. these things are crisp with a serious punch. from cello to funky house. amazing.","incredible, beats brands ive pioneer, mackie etc etc. things crisp serious punch. cello funky house. amazing.","i cannot explain how good on every level these speakers are. wow, sound, wow.. incredible, beats brands ive pioneer, mackie etc etc. things crisp serious punch. cello funky house. amazing.",5,Positive,2022,6,1
175,not ideal for loud sound production,"unfortunately these didn't do the trick for me. although the volume, bass and quality is actually really good, there is an issue where these speakers start distorting the sound once they have been in loud volume for more than 10-15 minutes, thus not being able to enjoy loud music..it turns out that this is a common issue with these speakers, as suggested by other customers on other websites..i have returned the item as it was not what i expected","unfortunately didn't trick me. although volume, bass quality actually really good, issue speakers start distorting sound loud volume 10-15 minutes, thus not able enjoy loud music..it turns common issue speakers, suggested customers websites..i returned item not expected","not ideal for loud sound production. unfortunately didn't trick me. although volume, bass quality actually really good, issue speakers start distorting sound loud volume 10-15 minutes, thus not able enjoy loud music..it turns common issue speakers, suggested customers websites..i returned item not expected",2,Negative,2022,5,30
176,the sound is great,"these are great for the price, there are many monitor speakers out there and ive listen to a few different versions and these a really good quality, i would defo recommend them.","great price, many monitor speakers ive listen different versions really good quality, defo recommend them.","the sound is great. great price, many monitor speakers ive listen different versions really good quality, defo recommend them.",5,Positive,2022,5,29
177,excellent purchase for price,i have found nothing wrong with them. they're great,found nothing wrong them. they're great,excellent purchase for price. found nothing wrong them. they're great,5,Positive,2022,5,29
178,incredible,"these are amazing, for the price alone, quality is great and so is the sound. im glad i went for these..get them","amazing, price alone, quality great sound. im glad went these..get","incredible. amazing, price alone, quality great sound. im glad went these..get",5,Positive,2022,5,26
179,better than expected,"i knew they would be good because of the reviews, however, i was sceptical because some people said they weren't as loud as the 4.5's. but since owning the 3.5 they are by far loud enough and i rarely use above half volume unless i want tinnitus. only complaint is that i had to pay an extra £17 for bluetooth when i feel that should come standard these days.","knew good reviews, however, sceptical people said weren't loud 4.5's. since owning 3.5 far loud enough rarely use half volume unless want tinnitus. complaint pay extra £17 bluetooth feel come standard days.","better than expected. knew good reviews, however, sceptical people said weren't loud 4.5's. since owning 3.5 far loud enough rarely use half volume unless want tinnitus. complaint pay extra £17 bluetooth feel come standard days.",5,Positive,2022,5,25
180,great sound,great sound- used with focusrite scarlet,great sound- used focusrite scarlet,great sound. great sound- used focusrite scarlet,5,Positive,2022,5,25
181,brilliant sub for the price,brilliant sub for the price,brilliant sub price,brilliant sub for the price. brilliant sub price,4,Positive,2022,5,25
182,solid set of speakers,"bought these to replace a set of mackie cr4's which had started to give up after 6 years of light use - hoping these last a bit longer...easy set-up - the active speaker is the left one - which didn't work for me so had to reverse the inputs to make it the right one. useful to have the power and volume adjustment on the front. volume control very linear...i am no expert but these do sound great, a step up form the mackie's - i have zero hum and clarity is great up to the moderate volumes i listen at.","bought replace set mackie cr4's started give 6 years light use - hoping last bit longer...easy set-up - active speaker left one - didn't work reverse inputs make right one. useful power volume adjustment front. volume control linear...i no expert sound great, step form mackie's - zero hum clarity great moderate volumes listen at.","solid set of speakers. bought replace set mackie cr4's started give 6 years light use - hoping last bit longer...easy set-up - active speaker left one - didn't work reverse inputs make right one. useful power volume adjustment front. volume control linear...i no expert sound great, step form mackie's - zero hum clarity great moderate volumes listen at.",4,Positive,2022,5,24
183,wow!,"i wasted 8 weeks! ... of thinking time deciding whether to buy these! they arrived today and i have hit them with everything, 3.5mm to rca from macbookpro, and bluetooth from my iphone. they sound breathtaking! ignore any reviews saying they lack bass, they are really punchy. what they do deliver is a stunning stage of sound, great separation, and the type of depth that makes you think you're in the studio during the recording. massively recommended!**** ... update, i've just ordered the eris 3.5bt for a different room","wasted 8 weeks! ... thinking time deciding whether buy these! arrived today hit everything, 3.5mm rca macbookpro, bluetooth iphone. sound breathtaking! ignore reviews saying lack bass, really punchy. deliver stunning stage sound, great separation, type depth makes think studio recording. massively recommended!**** ... update, i've ordered eris 3.5bt different room","wow!. wasted 8 weeks! ... thinking time deciding whether buy these! arrived today hit everything, 3.5mm rca macbookpro, bluetooth iphone. sound breathtaking! ignore reviews saying lack bass, really punchy. deliver stunning stage sound, great separation, type depth makes think studio recording. massively recommended!**** ... update, i've ordered eris 3.5bt different room",5,Positive,2022,5,23
184,great sound at an affordable price,"really nice speakers. i connected these speakers to a pc via an ifi dac, and the result was awesome..playing itunes through apple lossless, and the sound is crisp and clear. nice bass tones as well, which doesn’t muddy the overall sound, or blow your eardrums apart..overall, a very nice sounding pair of speakers. easy to connect, and very affordable.","really nice speakers. connected speakers pc via ifi dac, result awesome..playing itunes apple lossless, sound crisp clear. nice bass tones well, doesn’t muddy overall sound, blow eardrums apart..overall, nice sounding pair speakers. easy connect, affordable.","great sound at an affordable price. really nice speakers. connected speakers pc via ifi dac, result awesome..playing itunes apple lossless, sound crisp clear. nice bass tones well, doesn’t muddy overall sound, blow eardrums apart..overall, nice sounding pair speakers. easy connect, affordable.",5,Positive,2022,5,21
185,10/10,10/10,10/10,10/10. 10/10,5,Positive,2022,5,20
186,"clear sound, not booming or muddy at the bottom end like many speakers at this price","i upgraded to these from some mid range creative speakers- these sound much ckeaner. they're intended as near field monitors, so they're not designed to fill a room. but as computer speakers or for mixing, they're great","upgraded mid range creative speakers- sound much ckeaner. they're intended near field monitors, they're not designed fill room. computer speakers mixing, they're great","clear sound, not booming or muddy at the bottom end like many speakers at this price. upgraded mid range creative speakers- sound much ckeaner. they're intended near field monitors, they're not designed fill room. computer speakers mixing, they're great",5,Positive,2022,5,17
187,amazing speakers,"i read the reviews before purchasing these speakers to dj at home. all the reviews said they were great speakers so i bought them and must say that for the price these are amazing speakers. small, light and great sound quality. i would highly recommend these to anyone","read reviews purchasing speakers dj home. reviews said great speakers bought must say price amazing speakers. small, light great sound quality. highly recommend anyone","amazing speakers. read reviews purchasing speakers dj home. reviews said great speakers bought must say price amazing speakers. small, light great sound quality. highly recommend anyone",5,Positive,2022,5,17
188,very impressed,"these definitely surpassed my expectations. for the price i wasn't expecting such clarity and richness. it all sounds even, can't sense any boosting/dipping anywhere, pretty flat sound, definitely will do for mixing. i can't imagine better for the price.","definitely surpassed expectations. price wasn't expecting clarity richness. sounds even, can't sense boosting/dipping anywhere, pretty flat sound, definitely mixing. can't imagine better price.","very impressed. definitely surpassed expectations. price wasn't expecting clarity richness. sounds even, can't sense boosting/dipping anywhere, pretty flat sound, definitely mixing. can't imagine better price.",5,Positive,2022,5,15
189,excellent sound quality.,so good i purchased another pair.,good purchased another pair.,excellent sound quality.. good purchased another pair.,5,Positive,2022,5,15
190,the best speakers which i ever had,"that are small but very powerful. the sound is so crispy that u can here every instrument in song which u listening. the games and films pushing you into armchair high, medium and low tones are perfect...the best value for that money. can recomend them to everyone who like to listening good music and playing games as well...best regards,.rob","small powerful. sound crispy u every instrument song u listening. games films pushing armchair high, medium low tones perfect...the best value money. recomend everyone like listening good music playing games well...best regards,.rob","the best speakers which i ever had. small powerful. sound crispy u every instrument song u listening. games films pushing armchair high, medium low tones perfect...the best value money. recomend everyone like listening good music playing games well...best regards,.rob",5,Positive,2022,5,11
191,no contenders at this price point,once these speakers break in they are truly astonishing (4.5 inch ) for mixing studio music as there is no colouration in the sound. what you hear is what other people will hear regardless of set up. first class.,speakers break truly astonishing (4.5 inch ) mixing studio music no colouration sound. hear people hear regardless set up. first class.,no contenders at this price point. speakers break truly astonishing (4.5 inch ) mixing studio music no colouration sound. hear people hear regardless set up. first class.,5,Positive,2022,5,11
192,bluetooth connectivity is very poor,"the bluetooth connection from a pc does not work beyond 1 metre, i eventually maanged to scan and find the bluetooth from my pc but must be within that 1 metre range. it is ery difficult to scan, find and pair generally. this device requires constant pressing the pair button to re-establish a bluetooth connection. my android mobile connection works okay but the sound is very poor on certain songs with a base...very disappointing using the bluetooth and should not be allowed to be sold with this function barely working. my confidence in the brand is zero and will not be buying anymore of their products. i should have got a normal bluetooth speaker that peforms 100% better.","bluetooth connection pc not work beyond 1 metre, eventually maanged scan find bluetooth pc must within 1 metre range. ery difficult scan, find pair generally. device requires constant pressing pair button re-establish bluetooth connection. android mobile connection works okay sound poor certain songs base...very disappointing using bluetooth not allowed sold function barely working. confidence brand zero not buying anymore products. got normal bluetooth speaker peforms 100% better.","bluetooth connectivity is very poor. bluetooth connection pc not work beyond 1 metre, eventually maanged scan find bluetooth pc must within 1 metre range. ery difficult scan, find pair generally. device requires constant pressing pair button re-establish bluetooth connection. android mobile connection works okay sound poor certain songs base...very disappointing using bluetooth not allowed sold function barely working. confidence brand zero not buying anymore products. got normal bluetooth speaker peforms 100% better.",1,Negative,2022,5,8
193,good small monitors for music production,"i use these for a second, more portable production rig. you need to check lower bass frequencies on bigger monitors or decent headphones, but other than that 5 stars for price.","use second, portable production rig. need check lower bass frequencies bigger monitors decent headphones, 5 stars price.","good small monitors for music production. use second, portable production rig. need check lower bass frequencies bigger monitors decent headphones, 5 stars price.",5,Positive,2022,4,26
194,great speakers with a small problem,the sound from these little speakers are excellent but the bluetooth part is really not great for 2022 it barely works just 3 meters away without cutting in and out. disappointing on the bluetooth. but purely for plugging in they are excellent.,sound little speakers excellent bluetooth part really not great 2022 barely works 3 meters away without cutting out. disappointing bluetooth. purely plugging excellent.,great speakers with a small problem. sound little speakers excellent bluetooth part really not great 2022 barely works 3 meters away without cutting out. disappointing bluetooth. purely plugging excellent.,4,Positive,2022,4,17
195,"presonus, great as always","for £150, the eris sub8 is great value for money. i'm a big fan of presonus gear, and once again i am impressed. for me, one of the great things is the trs connectivity, making it very easy to connect to your audio interface and your monitors. there are also numerous settings on the amp to tweak the sound to your liking. there is a bit of a noise floor, but it isn't too significant. i would definitely recommend this subwoofer to anyone looking for a budget option that still sounds great.","£150, eris sub8 great value money. i'm big fan presonus gear, impressed. me, one great things trs connectivity, making easy connect audio interface monitors. also numerous settings amp tweak sound liking. bit noise floor, isn't significant. definitely recommend subwoofer anyone looking budget option still sounds great.","presonus, great as always. £150, eris sub8 great value money. i'm big fan presonus gear, impressed. me, one great things trs connectivity, making easy connect audio interface monitors. also numerous settings amp tweak sound liking. bit noise floor, isn't significant. definitely recommend subwoofer anyone looking budget option still sounds great.",5,Positive,2022,4,14
196,not working,product did not power up and was returned,product not power returned,not working. product not power returned,1,Negative,2022,4,13
197,"great price point, great speakers","i did my research before purchasing these. they have not disappointed. have them attached to my record player, rock is crisp and clear, drum and bass is punchy, funk is....well funky. overall recommend.","research purchasing these. not disappointed. attached record player, rock crisp clear, drum bass punchy, funk is....well funky. overall recommend.","great price point, great speakers. research purchasing these. not disappointed. attached record player, rock crisp clear, drum bass punchy, funk is....well funky. overall recommend.",5,Positive,2022,4,10
198,fantastic sound quality!,"used to use our old surround sound system with the turntable, but we got rid of it. these little speakers sound amazing! you still need your preamp with a turntable as there’s no phono input. fabulous product for the money. loads of bass!","used use old surround sound system turntable, got rid it. little speakers sound amazing! still need preamp turntable there’s no phono input. fabulous product money. loads bass!","fantastic sound quality!. used use old surround sound system turntable, got rid it. little speakers sound amazing! still need preamp turntable there’s no phono input. fabulous product money. loads bass!",5,Positive,2022,4,10
199,amazing! amazing! amazing!,"you wont regret buying these, so happy with my purchase. spent all evening listening to how good they are.","wont regret buying these, happy purchase. spent evening listening good are.","amazing! amazing! amazing!. wont regret buying these, happy purchase. spent evening listening good are.",5,Positive,2022,4,7
200,light and powerful.,does exactly what it says on the box.,exactly says box.,light and powerful.. exactly says box.,5,Positive,2022,4,6
201,excellent!,they arrived on time and work perfectly. love them,arrived time work perfectly. love,excellent!. arrived time work perfectly. love,5,Positive,2022,4,6
202,impressive,perfect for my pc set up and use with my dj controller..great sound from a small package,perfect pc set use dj controller..great sound small package,impressive. perfect pc set use dj controller..great sound small package,5,Positive,2022,4,4
203,presonus eris sub8 compact with gorgeous looks & average performance!,"after all the positive reviews about this product, i was so much looking forward to hooking this sub up to my system. however, i was at first very disappointed with the sound quality in general, because it did not deliver the window rattling, lound, punchy, low-end base like some other reviewers had suggested it did! having said that, the addition of this sub will actually drastically improve the overall low end frequencies when paired with the somewhat base-shy presonus e3.5 satellite speakers. for this reason i have to recommend this sub, but please don't expect ear shatteringly loud, punchy low end base because you won't get it! i have my system hooked up to my pc in a small office space just 5'x10' & mainly play music and i need both the sub & speakers set to almost max!.both hpf & 180 deg. swithes located on the rear of the unit make no difference to the sound whatsoever which is a little disappointing & the volume control is also located on the back which some people may also find a tad inconvenient..i was shocked when playing just the sub on its own (satellite speakers turned off) because the lower frequency base notes sounded not only very quiet, but muffled & distorted too! i was hoping for nice loud punchy low end base but didn't get it! having said that - when played together with the satellite speakers the overall sound does seem to come life!.don't be put off by this review because the overall sound is pretty good for the money & its usually true in what they say - ""you get what you pay for""!","positive reviews product, much looking forward hooking sub system. however, first disappointed sound quality general, not deliver window rattling, lound, punchy, low-end base like reviewers suggested did! said that, addition sub actually drastically improve overall low end frequencies paired somewhat base-shy presonus e3.5 satellite speakers. reason recommend sub, please expect ear shatteringly loud, punchy low end base won't get it! system hooked pc small office space 5'x10' & mainly play music need sub & speakers set almost max!.both hpf & 180 deg. swithes located rear unit make no difference sound whatsoever little disappointing & volume control also located back people may also find tad inconvenient..i shocked playing sub (satellite speakers turned off) lower frequency base notes sounded not quiet, muffled & distorted too! hoping nice loud punchy low end base didn't get it! said - played together satellite speakers overall sound seem come life!.don't put review overall sound pretty good money & usually true say - ""you get pay for""!","presonus eris sub8 compact with gorgeous looks & average performance!. positive reviews product, much looking forward hooking sub system. however, first disappointed sound quality general, not deliver window rattling, lound, punchy, low-end base like reviewers suggested did! said that, addition sub actually drastically improve overall low end frequencies paired somewhat base-shy presonus e3.5 satellite speakers. reason recommend sub, please expect ear shatteringly loud, punchy low end base won't get it! system hooked pc small office space 5'x10' & mainly play music need sub & speakers set almost max!.both hpf & 180 deg. swithes located rear unit make no difference sound whatsoever little disappointing & volume control also located back people may also find tad inconvenient..i shocked playing sub (satellite speakers turned off) lower frequency base notes sounded not quiet, muffled & distorted too! hoping nice loud punchy low end base didn't get it! said - played together satellite speakers overall sound seem come life!.don't put review overall sound pretty good money & usually true say - ""you get pay for""!",4,Positive,2022,4,3
204,good speakers for the price,"these look nice and are built well...the cables are fairly long. could be a little longer but long enough for most desks...the volume can go very loud without losing too much quality. louder than i will ever need...these are meant more for music people who want to hear things more accurately. this means that for music production the are pretty good but some things and voices in practically sound a bit off...they are okay for gaming as they have good bass and good sound quality although again, some things do sound a little off...most of these things are not that noticeable if you are not listing out for it though...they also angle sound very ""straight"". by this i mean if you are directly in front of the speakers they are very loud but if you step to the side you can notice a drop in volume. sound obvious but its more noticeable than with other speakers that i have used...all in all i think they are pretty good for the price and very good if you are using them for electric instruments or music production.","look nice built well...the cables fairly long. little longer long enough desks...the volume go loud without losing much quality. louder ever need...these meant music people want hear things accurately. means music production pretty good things voices practically sound bit off...they okay gaming good bass good sound quality although again, things sound little off...most things not noticeable not listing though...they also angle sound ""straight"". mean directly front speakers loud step side notice drop volume. sound obvious noticeable speakers used...all think pretty good price good using electric instruments music production.","good speakers for the price. look nice built well...the cables fairly long. little longer long enough desks...the volume go loud without losing much quality. louder ever need...these meant music people want hear things accurately. means music production pretty good things voices practically sound bit off...they okay gaming good bass good sound quality although again, things sound little off...most things not noticeable not listing though...they also angle sound ""straight"". mean directly front speakers loud step side notice drop volume. sound obvious noticeable speakers used...all think pretty good price good using electric instruments music production.",4,Positive,2022,3,30
205,great connectivity,i love the easy setup and form factor. the sound is great. i have them connected via line in to my mac and via blootooh to my my work laptop at the same time. the bluetooth connection is instantaneous and always ready to start working away. no need to switch between sources..i use the monitors for video editing.,love easy setup form factor. sound great. connected via line mac via blootooh work laptop time. bluetooth connection instantaneous always ready start working away. no need switch sources..i use monitors video editing.,great connectivity. love easy setup form factor. sound great. connected via line mac via blootooh work laptop time. bluetooth connection instantaneous always ready start working away. no need switch sources..i use monitors video editing.,5,Positive,2022,3,30
206,wan’t regret this purchase,"amazing sound in small package, perfect for computer setups.","amazing sound small package, perfect computer setups.","wan’t regret this purchase. amazing sound small package, perfect computer setups.",5,Positive,2022,3,25
207,a real review,"if you would like a small compact yet powerful set of speakers to be used in a small room, these are really good. however, if you're after something with a bit more kick in a slightly larger room then you should probably go for the 4.5 inch version as the 3.5 inch version really lack bass. i love the 3.5 inch version of the speakers but it does lack volume, they don't go very loud so if you're recording at low volume in your daw software playback will lack the volume that you so desire. the sound quality is good though...update:.just under a week and they're broken, there's a fuzzy noise coming from the left cone when a certain bass frequency has hit and it sounds garbage now!!!!","like small compact yet powerful set speakers used small room, really good. however, something bit kick slightly larger room probably go 4.5 inch version 3.5 inch version really lack bass. love 3.5 inch version speakers lack volume, go loud recording low volume daw software playback lack volume desire. sound quality good though...update:.just week they're broken, there's fuzzy noise coming left cone certain bass frequency hit sounds garbage now!!!!","a real review. like small compact yet powerful set speakers used small room, really good. however, something bit kick slightly larger room probably go 4.5 inch version 3.5 inch version really lack bass. love 3.5 inch version speakers lack volume, go loud recording low volume daw software playback lack volume desire. sound quality good though...update:.just week they're broken, there's fuzzy noise coming left cone certain bass frequency hit sounds garbage now!!!!",4,Positive,2022,3,24
208,outstanding for the price,"it’s been stated in other reviews that these speakers punch way above their price and size. i agree...the sound from the speakers is big and open. the tweeters provide really great rendition on all sorts of cymbals and the set up picks up all guitars, pianos, violins and cellos, brass, reed and vocals and provides a remarkably authentic, clipping free level of fidelity for their price and size...if they have a failing, it’s in low end bass. anyone expecting too much of that from a 3.5” mid/bass, may be somewhat optimistic...i matched these units with an existing sub unit and the overall sound quality is outstanding for the price. the 3.5s bottom out at 80hz. bear that in mind. on their own they are superior to many desktop speakers, but you need a sub if you want a full ‘sound stage’...there was some buzzing on install. the supplied cables are - adequate. i thought i might have to invest in some better (shielded) ones. however, judicious positioning of the power and input cables solved the problem...would i recommend these? yes. i don’t know what comes near them at their price.","it’s stated reviews speakers punch way price size. agree...the sound speakers big open. tweeters provide really great rendition sorts cymbals set picks guitars, pianos, violins cellos, brass, reed vocals provides remarkably authentic, clipping free level fidelity price size...if failing, it’s low end bass. anyone expecting much 3.5” mid/bass, may somewhat optimistic...i matched units existing sub unit overall sound quality outstanding price. 3.5s bottom 80hz. bear mind. superior many desktop speakers, need sub want full ‘sound stage’...there buzzing install. supplied cables - adequate. thought invest better (shielded) ones. however, judicious positioning power input cables solved problem...would recommend these? yes. don’t know comes near price.","outstanding for the price. it’s stated reviews speakers punch way price size. agree...the sound speakers big open. tweeters provide really great rendition sorts cymbals set picks guitars, pianos, violins cellos, brass, reed vocals provides remarkably authentic, clipping free level fidelity price size...if failing, it’s low end bass. anyone expecting much 3.5” mid/bass, may somewhat optimistic...i matched units existing sub unit overall sound quality outstanding price. 3.5s bottom 80hz. bear mind. superior many desktop speakers, need sub want full ‘sound stage’...there buzzing install. supplied cables - adequate. thought invest better (shielded) ones. however, judicious positioning power input cables solved problem...would recommend these? yes. don’t know comes near price.",5,Positive,2022,3,24
209,great,work absolutely perfectly and great sound quality,work absolutely perfectly great sound quality,great. work absolutely perfectly great sound quality,5,Positive,2022,3,22
210,used in my edit suite.,work well and are built well. sound quality good for the size. recommend using foam isolation pads to improve desktop performance.,work well built well. sound quality good size. recommend using foam isolation pads improve desktop performance.,used in my edit suite.. work well built well. sound quality good size. recommend using foam isolation pads improve desktop performance.,5,Positive,2022,3,21
211,it’s a beast!,"sounds great!..i’m using with the presonus eris 5s and the sound quality is excellent...i’m literally running at a fraction of the sound it is capable of, but it really doesn’t need to go any higher. crack this up and the bricks will stay falling out the walls!! :-)","sounds great!..i’m using presonus eris 5s sound quality excellent...i’m literally running fraction sound capable of, really doesn’t need go higher. crack bricks stay falling walls!! :-)","it’s a beast!. sounds great!..i’m using presonus eris 5s sound quality excellent...i’m literally running fraction sound capable of, really doesn’t need go higher. crack bricks stay falling walls!! :-)",5,Positive,2022,3,21
212,broke within 6 weeks,"real pity. good sound but internal connections broke within 6 weeks. the speakers had not been moved since setup so i guess the internal electronics were poor. as i said, a real pity.","real pity. good sound internal connections broke within 6 weeks. speakers not moved since setup guess internal electronics poor. said, real pity.","broke within 6 weeks. real pity. good sound internal connections broke within 6 weeks. speakers not moved since setup guess internal electronics poor. said, real pity.",3,Neutral,2022,3,20
