,Title,Rating,Content
172,"I cannot explain how good on every level these speakers are. Wow, sound, wow.",5,"Incredible, beats all other brands ive had pioneer, mackie etc etc. These things are crisp with a serious punch. From cello to funky house. Amazing."
173,Not ideal for loud sound production,2,"Unfortunately these didn't do the trick for me. Although the volume, bass and quality is actually really good, there is an issue where these speakers start distorting the sound once they have been in loud volume for more than 10-15 minutes, thus not being able to enjoy loud music.
It turns out that this is a common issue with these speakers, as suggested by other customers on other websites.
I have returned the item as it was not what I expected"
174,the sound is great,5,"these are great for the price, there are many monitor speakers out there and ive listen to a few different versions and these a really good quality, i would defo recommend them."
175,Excellent purchase for price,5,I have found nothing wrong with them. They're great
176,Incredible,5,"These are amazing, for the price alone, quality is great and so is the sound. Im glad i went for these

Get them"
177,Better than Expected,5,"I knew they would be good because of the reviews, however, I was sceptical because some people said they weren't as loud as the 4.5's. But since owning the 3.5 they are by far loud enough and I rarely use above half volume unless I want tinnitus. Only complaint is that I had to pay an extra £17 for bluetooth when I feel that should come standard these days."
178,Great sound,5,Great sound- used with focusrite scarlet
179,Brilliant sub for the price,4,Brilliant sub for the price
180,Solid set of speakers,4,"Bought these to replace a set of Mackie CR4's which had started to give up after 6 years of light use - hoping these last a bit longer.

Easy set-up - the active speaker is the left one - which didn't work for me so had to reverse the inputs to make it the right one. Useful to have the power and volume adjustment on the front. Volume control very linear.

I am no expert but these do sound great, a step up form the Mackie's - I have zero hum and clarity is great up to the moderate volumes I liste"
181,Wow!,5,"I wasted 8 weeks! ... of thinking time deciding whether to buy these! They arrived today and I have hit them with everything, 3.5mm to RCA from MacbookPro, and Bluetooth from my iPhone. They sound breathtaking! Ignore any reviews saying they lack bass, they are really punchy. What they do deliver is a stunning stage of sound, great separation, and the type of depth that makes you think you're in the studio during the recording. Massively recommended!**** ... Update, I've just ordered the Eris 3."
182,Great sound at an affordable price,5,"Really nice speakers. I connected these speakers to a PC via an ifi dac, and the result was awesome.
Playing iTunes through Apple lossless, and the sound is crisp and clear. Nice bass tones as well, which doesn’t muddy the overall sound, or blow your eardrums apart.
Overall, a very nice sounding pair of speakers. Easy to connect, and very affordable."
183,10/10,5,10/10
184,"Clear sound, not booming or muddy at the bottom end like many speakers at this price",5,"I upgraded to these from some mid range Creative speakers- these sound much ckeaner. They're intended as near field monitors, so they're not designed to fill a room. But as computer speakers or for mixing, they're great"
185,Amazing speakers,5,"I read the reviews before purchasing these speakers to DJ at home. All the reviews said they were great speakers so I bought them and must say that for the price these are amazing speakers. Small, light and great sound quality. I would highly recommend these to anyone"
186,Very impressed,5,"These definitely surpassed my expectations. For the price i wasn't expecting such clarity and richness. It all sounds even, can't sense any boosting/dipping anywhere, pretty flat sound, definitely will do for mixing. I can't imagine better for the price."
187,Excellent sound quality.,5,So good I purchased another pair.
188,The best speakers which I ever had,5,"That are small but very powerful. The sound is so crispy that u can here every instrument in song which u listening. The games and films pushing you into armchair high, medium and low tones are perfect.

The best value for that money. Can recomend them to everyone who like to listening good music and playing games as well.

Best regards,
Rob"
189,NO CONTENDERS AT THIS PRICE POINT,5,Once these speakers break in they are truly astonishing (4.5 inch ) for mixing studio music as there is no colouration in the sound. What you hear is what other people will hear regardless of set up. FIRST CLASS.
190,Bluetooth connectivity is very poor,1,"The bluetooth connection from a PC does not work beyond 1 metre, I eventually maanged to scan and find the bluetooth from my PC but must be within that 1 metre range. It is ery difficult to scan, find and pair generally. This device requires constant pressing the pair button to re-establish a bluetooth connection. My android mobile connection works okay but the sound is very poor on certain songs with a base.

Very disappointing using the bluetooth and should not be allowed to be sold with this "
191,Good small monitors for music production,5,"I use these for a second, more portable production rig. You need to check lower bass frequencies on bigger monitors or decent headphones, but other than that 5 stars for price."
192,Great Speakers with a small problem,4,The sound from these little speakers are excellent but the Bluetooth part is really not great for 2022 it barely works just 3 meters away without cutting in and out. Disappointing on the Bluetooth. but purely for plugging in they are excellent.
193,"Presonus, Great as Always",5,"For £150, the Eris Sub8 is great value for money. I'm a big fan of Presonus gear, and once again I am impressed. For me, one of the great things is the TRS connectivity, making it very easy to connect to your audio interface and your monitors. There are also numerous settings on the amp to tweak the sound to your liking. There is a bit of a noise floor, but it isn't too significant. I would definitely recommend this subwoofer to anyone looking for a budget option that still sounds great."
194,Not working,1,Product did not power up and was returned
195,"Great price point, great speakers",5,"I did my research before purchasing these. They have not disappointed. Have them attached to my record player, rock is crisp and clear, drum and bass is punchy, funk is....well funky. Overall recommend."
196,Fantastic sound quality!,5,"Used to use our old surround sound system with the turntable, but we got rid of it. These little speakers sound amazing! You still need your preamp with a turntable as there’s no phono input. Fabulous product for the money. Loads of bass!"
197,Amazing! Amazing! Amazing!,5,"You wont regret buying these, So happy with my purchase. Spent all evening listening to how good they are."
198,Light and powerful.,5,Does exactly what it says on the box.
199,Excellent!,5,They arrived on time and work perfectly. Love them
200,Impressive,5,"Perfect for my pc set up and use with my DJ controller

Great sound from a small package"
201,PreSonus Eris Sub8 Compact with Gorgeous Looks & Average Performance!,4,"After all the positive reviews about this product, I was so much looking forward to hooking this Sub up to my system. However, I was at first very disappointed with the sound quality in general, because it did not deliver the window rattling, lound, punchy, low-end base like some other reviewers had suggested it did! Having said that, the addition of this Sub will actually drastically improve the overall low end frequencies when paired with the somewhat base-shy PreSonus E3.5 Satellite Speakers."
202,Good speakers for the price,4,"These look nice and are built well.

The cables are fairly long. Could be a little longer but long enough for most desks.

The volume can go very loud without losing too much quality. Louder than i will ever need.

These are meant more for music people who want to hear things more accurately. This means that for music production the are pretty good but some things and voices in practically sound a bit off.

They are okay for gaming as they have good bass and good sound quality although again, so"
203,Great connectivity,5,"I love the easy setup and form factor. The sound is great. I have them connected via line in to my mac and via blootooh to my my work laptop at the same time. The Bluetooth connection is instantaneous and always ready to start working away. No need to switch between sources.
I use the monitors for video editing."
204,Wan’t regret this purchase,5,"Amazing sound in small package, perfect for computer setups."
205,A real review,4,"If you would like a small compact yet powerful set of speakers to be used in a small room, these are really good. However, if you're after something with a bit more kick in a slightly larger room then you should probably go for the 4.5 inch version as the 3.5 inch version really lack bass. I love the 3.5 inch version of the speakers but it does lack volume, they don't go very loud so if you're recording at low volume in your DAW software playback will lack the volume that you so desire. The soun"
206,Outstanding for the price,5,"It’s been stated in other reviews that these speakers punch way above their price and size. I agree.

The sound from the speakers is big and open. The tweeters provide really great rendition on all sorts of cymbals and the set up picks up all guitars, pianos, violins and cellos, brass, reed and vocals and provides a remarkably authentic, clipping free level of fidelity for their price and size.

If they have a failing, it’s in low end bass. Anyone expecting too much of that from a 3.5” mid/bass,"
207,Great,5,Work absolutely perfectly and great sound quality
208,Used in my edit suite.,5,Work well and are built well. Sound quality good for the size. Recommend using foam isolation pads to improve desktop performance.
209,It’s a beast!,5,"Sounds great!

I’m using with the Presonus Eris 5s and the sound quality is excellent.

I’m literally running at a fraction of the sound it is capable of, but it really doesn’t need to go any higher. Crack this up and the bricks will stay falling out the walls!! :-)"
210,Broke within 6 weeks,3,"Real pity. Good sound but internal connections broke within 6 weeks. The speakers had not been moved since setup so I guess the internal electronics were poor. As I said, a real pity."
211,Really good for the price,5,Firstly I'll point out I get absolutely no mains hum from these whatsoever but studio monitors are sensitive to it. I had massive problems with my Adams caused by a duff mains adaptor. It'll usually be either from the leads or other devices plugged into same mains block. If possible give these they're own socket. Lamps can be trouble if in same socket. TV seems fine in same block. Upgrading interconnect cables also helps a lot. Mine are 50 quid and that's overkill but 20 or 30 should do. The sup
212,Good sound quality but bad QC,3,"I am using it with my Macbook Pro for general usage, listening to music, video, gaming. The sound quality is better than another M brand similar price speaker. But it did not turn on after a week. Have to replace another hardware."
213,I didnt know what I was missing,5,Got these for my PC and they blow all my old speakers out of the water. Loud and extremely high quality.
214,Delighted,3,"So much better than the Audioengine for use as PC speakers and at a third of the cost. Couldn’t be more happy so far.
Edit:
After three months use I know the product better now and have dropped two stars. My use case is for simple PC use: Youtube, the odd game, non-critical music listening etc… Problem is that the stereo imaging is poor. You can often clearly notice distinct and separate sound out of the left and right channels. Perhaps that is how a monitor as opposed to a standard speaker is s"
215,Build and sound quality 5 star.,5,"I don't usually do reviews, for this product I will make and exception. Total value for money, build quality is superb, sound quality is amazing. Connected to my turntable and was blown away with the sound quality. Highly recommended."
216,Very Pleased,5,Great Product
217,Good sub,5,Best sub
218,Impressive.,5,Pretty impressed. Just received these and set them up using a Focusrite Scarlett 2i2 as the interface and TRS cables from WORLDS BEST CABLES (Van Damme Tour Grade Classic XKE Starquad). Also an Anker USB-C to USB-C 643 Cable as I have spare USB-C outputs on my computer. You do get a standard USB-B to C cable with the device. I wanted something more than the usual computer speakers and think I have made the right decision. How can they sound this good and only cost £87.
219,Lightweight build quality,4,"Bought from Amazon warehouse as none in stock at the time, I was disappointed to find no Instructions or software as advertised . More alarming was the lightweight build quality that has a hollow ring to it when you tap the cabinet. I was not expecting great things, but I was wrong (mostly)
There is plenty of power for nearfield monitoring and it digs deep keeping the notes tuneful and tight, no flabbiness at all. I was impressed! If only it didn't look and feel like a cheap imitation of the rea"
220,Music production,5,Great speakers. Flat response. Really pleased
221,"Impressive audio, no mains hum",5,"These are incredible. I used to own Yamaha HS8 monitors (£450) and these have comparable mid and high end. Lacking low end but that's just because the drivers are small so no complains there. Honestly if you need a pair of music/gaming/movie/producing speakers, get these.

I didn't experience any mains hum, even when plugged into a 10-way extended with 6 other devices connected. 10/10"
222,Great value for money.,5,"First pair I received had a fault (right hand channel wouldn’t work) but the replacements have been perfect.
Great sound, look good too."
223,The problem is strange frequency response,3,Weird frequency response. Good soundstage thanks to Good directivity. My advice is to consider something else but it’s not too bad if you can compensate using EQ based on measurements found online.
224,Perfect for My Digital Piano,5,Easy to set up with my powered monitor speakers. Looks good too.
225,Excellent with PreSonus Eris E5s,5,"I bought the Sub8 to go with a pair of PreSonus Eris E5s that I just bought. The sound of the E5s on their own was pretty impressive but with the Sub8, just brilliant. Easily as good as units costing way, way more. The Sub8 is great value at under £200, very sturdily built, good control and connection options and sounds great. Highly recommended at the price."
226,Best value/quality small monitors I’ve ever heard.,5,"They’re great, but don’t skip on the Bluetooth unless you really won’t use it. Has other mid and low knobs on the back, so they’re a little more versatile than just flat sounding when required."
227,Lovely speakers,5,"The speakers don't have any problem. It's rather my mistake that I bought it knowing that I have an amp, which this one already has internally. Good thing that I've only tested the left speaker as the right speaker has the amp - so connecting it to the amp I have would have killed it. I've bought passive speakers instead from a local shop. Thanks"
228,Happy with these speakers.,5,"I like these monitors, I believe I have made the right decision buying these little monkeys. Would've liked to see a visible marker on volume knob. Also needs L shaped power cable instead of straight. Took me 43 minutes to think of something to write here. You're extremely welcome."
229,Fill my need,5,I am very pleased with the result. (after a lot of dithering about what to order!)
230,Not sure how these have got such good reviews,2,"The sound quality on these is worse than my much smaller Bluetooth Bose speaker. They aren’t terrible so I’m keeping them but I definitely wouldn’t recommend them, even for the cheap price."
231,great sound for price,5,"bought these to attach to record deck Great, fuss free connection, good sound and volume, bluetooth easy to set up and again good sound. having power switch and volume on the front is also good."
232,Good value for money,4,"Good looking and sounding studio monitors.
Good value for money.
Probably best bluetooth monitors for this price range.
I can hear the hum as many people describe but I guess I was lucky with my unit as it is very low and unnoticeable."
233,"Nice compact speaker, base kicks nicely",5,Nice little portable speakers. With some nice kicking bass. I use them on me decks and they've been fine. Only down side was it doesn't come with a rca to rca cable
234,Massive sound and excellent value - perfect for my home studio,5,These small and unassuming-looking speakers deliver amazing punchy sound quality and have a great selection of inputs. I use balanced TRS from my Behringer XR18 Air main outputs - the sound quality is superb and ticks every single box for my little home studio set up. I can't recommend them enough.
235,"PreSonus Eris E3.5, 3.5"", 2-way, High-Definition Multimedia Studio Monitors (Pair)",5,great set of monitors for hooking up a guitar or just playing music!
236,Great monitors for the price—plus excellent extra features,5,These sound great for smaller rooms plus they have the ability to adjust acoustics easily at the back. The bluetooth and front headphone jack features are excellent for the price.
237,Excellent speakers for gaming and watching,5,"I bought these as a replacement for some awful mackies speakers around the same price which had a soft buzzing whenever they were on.

These are excellent in comparison. They were easy to set up and sound great. No weird feedback at all. The quality is crisp and clear and being able to adjust the bass and treble a little is a nice bonus.

They’re pretty hefty on my small desk but look really nice and fit in with my minimalist pc set up really well.

Highly recommend these speakers!"
238,Wouldn’t recommend,1,Very poor sound quality. Used with a turntable and certain albums very distorted. Tried plugging headphones into the speakers too and very poor volume. Very disappointed.
239,Love them.,5,Really good sounding speakers very loud and good bass on them.. Easy to set up love them I definitely recommend them
240,Unsure about sound quality,3,"I have these monitors (3.5"") mounted on a couple stands, plugged into a Steinberg UR22 via TRS.

The only other pair of monitors I've owned are the M-audio AV30. I seem to recall them having much more crisp sound quality than these, so I'm a little disappointed.
The sound comes across as a little muddy and heavy on the low-frequencies, without having the depth of sound of a larger box.

The stitching/joining around the centre part of my right speaker also looks pretty rough. Will upload a pictur"
241,Powerful sound,5,"Good sounds,easy to install value for the money"
242,Good sound quality,5,"I use them in my home music studio. Great combination of inputs, so you can listen to a combination of sound sources. Sound quality is crystal clear with a good balance of bass. Recommend these."
243,Very good sound from small speaker.,4,"Very good speakers. Neutral in sound, fast and strong bass, clear sopran. Surprisingly loud and muscular for its size. Unfortunately cables includes in the set is a garbage. Short, really cheap quality and broken in my set."
244,Packs a Punch,5,"So after doing lots of research and countless videos on budget monitor speakers it was a choice between these and a few other speakers within the same price range. I decided to purchase these speakers and i must say im very impressed! I wanted some speakers for music production and DJing but was a little apprehensive as i heard the bass on these are not as deep as the others and I am very much a person who loves my bass. These speakers pack a punch and carry a good bass, obviously you want get a"
245,Amazing speakers,5,"Fantastic speakers.

For such a small unit (3.5) I was surprised at the depth of sound from these little gems.

I'd originally bought acoustic pads for underneath but they come with small adhesive pads which do the job well and stand sturdy which means no movement when pressing the power switch.

Great speakers for a desk setup."
246,The speakers with that price and quality. Amazing!!!,5,Best budget speakers so far.
247,Big bass ...,5,So to start I would say this is a good speaker for the price and goes really well with the presonus monitors. I have after a lot of fiddling about got my set up so that the monitors sound like much bigger speaker while minising any bass traps in the room. It's very loud.. almost too loud so thr volume on this woofer is normally in the 2% range. Better for bigger empty spaces but I'm still glad I got it.
248,Great subwoofer,5,"Excellent subwoofer working together with Eris E3.5.
It's exactly what I expected for my home studio!
I recommend to all djs"
249,Clear and Bassy,5,"Sound quality is arguably one of the best for this price range, I turned to youtube for a review of these as I was split between these and M Audio speakers and the review showed that these had more bass and a clearer sound.
When they arrived and I plugged them in I was very impressed with the design and size (they're quite small) especially when I plugged them in and cranked them up a bit to find out they really do pack a punch and it's all clear no distortion.
I'm currently usimg them for gamin"
250,Great but works best with an equaliser...,4,"Out of the box, the speakers are pretty bass heavy and have a muffled low/mid sound. It left dialogue and footsteps feeling very muted but explosions and any music very dominant. The knobs on the back to adjust the treble and bass only do so much (not a lot).

However as I use them with a PC, applying an equaliser like Dolby Atoms, you can balance out the highs, mids and lows to get the best out of these speakers.

Once adjusted the speakers have the ability to produce clear highs and lows, albe"
251,the best budget sound monitors you can buy,5,it's the best budget sound monitor you can buy. before I move to the UK I had a pair of MS40 Behringer which was an amazing sound monitor. This one is much smaller than my old MS40 but it has kinda the same sound quality and it's lower than you need. don't buy its bigger version if not necessary.
252,Great little soeakers,5,Great little speaker for the price!
253,Blown away by these!,5,I saw a few reviews that mentioned a hum but I didn’t have that issue. Crystal clear sound via Bluetooth or patch leads to my helix floor. Exceptional for the price. Best Buy of 2021 and I do like my gadgets :)
254,Unusable due to missing cables and not being able to download the drivers,1,"Bought these from Amazon for a Christmas present for my son. However, on Christmas day he found the cables were missing. Contacted Amazon who offered a small discount so I could then purchase the missing cables which I bought from Amazon. These arrived today and he was able to set the speakers up to then find that he couldn't download the necessary drivers and software because when he tried to register the product they had previously been registered to someone else making them not fit for purpos"
255,Sound quality.,5,"For the price these little speakers are great value for the money. I have them connected to my Roberts bluetune 200 stereo system,and has opened up the sound and stereo audio. Highly recommended. R."
256,It’s what a small home studio requires,4,"As an EDM artist I like my tracks to have plenty of low end, and 3-7” monitor speakers fail to provide that deep sub bass reproduction, so a dedicated sub will always be needed to monitor them low frequencies, headphones get a part of the way there, but you will still miss valuable frequencies as true sub bass is felt instead of heard.
I’m very impressed with the impact of such a small unit, it drives them body blows of sub bass straight to your gut, and really fills that gap in my frequencies, "
257,Looks like more power,5,"Very nice sub, honestly i keep the volume at level 1, cause if go more is very loud, is looks way more powerful then 100w, impressed!!!"
258,Amazing,5,Amazing
259,Great speakers,5,I use them on vinyl with a pre amp. Really pleased with them
260,Shockingly Good Little Studio Monitors,5,"Oh my Goodness , when I sat down and plugged these puppies in for the first time. Put on a HD audio track. I was utterly amazed at the clarity. These are perfect for desktop speakers if you want to get away from the usual suspect pc speakers that are small and tinny and lack ooomfff. These definitely don't. Ideal for home Audio production, messing about on Ableton, Games sound great and obviously good quality tuneage like wavs and flacs will sound amazing when the speakers are used as designed w"
261,Great budget reference speakers,5,"Sounds great, I would recommend for home mixing, can go loud, very detailed, very good budget profiler.

Would not recommend for listening to youtube videos etc, as you can hear every detail and if someone hasnt mixed down their audio, you will hear the reverb in the room they are in."
262,A brilliant piece of kit.,5,"In my opinion, these have a Fantastic sound, Small footprint, excellent Bluetooth, adjustable bass and top end tone controls. Multiple input types and Bluetooth. Excellent value and highly recommended."
263,Slight modification made all the difference.,3,Since owning the sub I was always aware of a slight hum from the transformer. I tried a power conditioner that didn't make any difference. It will void the warranty as I did but I removed the amp from the back and found that the hum was coming from the transformer reveberating through the body of the sub. I ordered some M4 10mm x 15mm rubber mounts from amazon and mounted the transformer with them. I added a silicone tubing to hang under the transformer for added support. I thought I had done so
264,shakes the house,5,shakes the house 🏡 👌
265,Great Speakers,5,Great Speakers very pleased.
266,Beautiful sound,5,I was really unsure what monitors to buy as my partner has been looking for some for his music. These sounds absolutely amazing and I highly recommend them!
267,Just brilliant audio.,5,"I already own a pair of harbeth dmp1 and dpm1 mini. Bought these for the new summerhouse, being active and Bluetooth was essential, being used mainly as projector soeaker and Android studio.

Whilst not up to the harbeth, I wasn't expecting them to be, but they are way better than expected. Details follow.

Stereo separation is perfect almost up to harbeth standard.

Clarity-unbelievably good, every instrument can be heard.

Bass- yes in spades, it's clear and unmuffled. Won't need to turn this "
268,Great value for the price,5,"Great product for the price, has a small form factor and does a good job. Headphone jack and Bluetooth connectivity.Volume control and on/off on the front!Easy to set-up ,you'll be up and running in no time. :)."
269,"stuff i need on the front, amazing sound.",5,brilliant...
270,What a powerful subwoofer!,5,"The sound can be as deep as that it described. What’s more, the powerful sound can be easily hear my neighbour."
271,Great,5,Great purchase would recommend is definitely worth the money and super easy to set up
272,They are very full ranged,5,"The only thing that could possibly be improved is the LED on the front, it is so small it is easy to overlook. I have left the speakers on a couple of times now whilst the system isn't in use . . not a good thing with electricity being so expensive at the moment. The sound is very good and the number of input options it handy to have. They are very good quality speakers."
273,Good for the size.,4,Smaller the the pictures before order. But slunds good.
274,Excellent sound quality,5,Partner used for mixing decks.He is impressed with the quality of sound.
275,Big sound from the size of it!!,5,Clear sound for home studio recording for my demos!!... but wouldn't recommend for major studio set ups.
276,Good Quality at a god price.,5,"Excellent value. Just what I need for my pc. Is better than the tinny base sound of many pc speakers.
Costs a bit more but is worth it."
277,Not lasted a year,2,"I'm afraid, these speakers have not lasted even a year yet. One of them has gone off suddenly and it appears I have not been able to get it started again."
278,Amazing budget monitors,5,"Never owned monitors before so I can only compare against regular speakers but these are amazing quality. I'm hearing sounds in my music I've never heard before.

I have them connected to a budget audio interface with balanced cables and I hear no unwanted noise.

They are also really nice to look at, the clean black boxes with the blue woven cones make this one of the nicest looking budget monitors, personally speaking of course.

I have listened to some 3"" mackies which sounded great but the s"
279,Cannot hype these enough,5,"I am shocked at how good these sound. I bought these as PC speakers, but hot damn they sound nearly as good as my HiFi speakers which are 20X the price.

I've plugged these directly into my soundcard, and they sound incredible, but will hopefully be even BETTER after I connect them to an external DAC. This these are a million times better than any Creative, logitech crap you can get for PCs."
280,Perfect,5,"No noise . No hum . Good sound and loud enough for mixing it up.
For the price . Great value . Would recommend no problem."
281,Amazing sound for a small pair of speakers,5,I already had some 5” speakers but they’re a little too large for my office desk hence why I went for these. For the price of these speakers I wasn’t expecting too much but I was blown away at how good they sound. There’s enough bass to feel it without being over powered and the mids and highs are very clear. Obviously these will not be ideal for a huge open area but for a small/mid size room you honestly don’t need any more.
282,"Perfect speakers, perfectly priced!",5,"Im really pleased with these speakers, so much that i am frustrated I pondered for a long time before purchasing.

Honestly, if you're after some active bookshelf speakers and your budget isnt the largest, then get these, dont hesitate!!! These are as good as or better than lots of the higher priced ones out there, that are passive and require an amp which can add up costs.

These look great, have a good weight to them and I think they're flawless hooked up to my turntable.

10/10"
283,"Good desktop speakers, but not true monitors",4,"Some of the reviews here suggest that Presonus have a quality control issue with the Eris 3.5. No such problems with mine, I'm happy to report. No hum, imperceptible hiss even with the volume turned right up, and both channels are equally loud.

Connected by unbalanced RCA cables to my Focusrite Scarlett 2i4, the sound is clear with as much bass as you'd expect from such small woofers and plenty of treble. The midrange is good with reasonable amounts of detail. When used as desk-mounted near-fie"
284,Studio monitors,5,"Great product superb sound only small but
Excellent quality"
285,Exceeded expectations,5,"I'm glad I didn't take notice of reviews that the sound quality is inferior and affected by humming. These are solid-state speakers (and come as a pair, not one as one bizarre review stated) and sound fantastic.

I heard instruments in Garage Band recordings I thought were a lot lower in the mix. But unless you have electrical grounding or wiring issues, you'll experience no humming and will find these to be exceptional value for money."
286,Truly amazing,5,"Premium. These are truly amazing speakers. All that is missing is a remote control. They have brilliant connectivity options, get very loud, very bassy and very deep and full sound.
Great for the price!"
287,Compact yet impressive,5,"I had been looking at these for awhile before I took the plunge - and I'm very glad I bought them!

For many years I had used the Bose Companion set of speakers with a small subwoofer connected to my PC. They were a bit overpriced but sounded great.

When the control unit packed up on them I was struggling to find a worthy replacement. Like another reviewer, I tried the Creative GigaWorks T40 Series II - they were awful! Not a very clear sound at all and no matter how I adjusted thyem they were "
288,Fantastic,5,Been using these for 3 weeks and the sound quality is fantastic. They did take a few hours to break in but the flat response on these monitors now are fantastic.
289,great job presonus,5,
290,Love them,5,For the price these are brilliant
291,Great sound quality but horrible hissing sound,2,Sounds amazing but has a hissing sound whenever it's turned on and it really hurts your ears.
292,Surprisingly good for audio,5,"I bought these in a rush as the power socket broke on my trusty (and very old) Roland MA-10s broke. In an ideal world I would have gone for the KRK ones to replace but I just don't have that kind of scratch right now and I really couldn't wait, I had stuff I needed to do and didn't want to waste even a single day. These arrived the next day which was really impressive.

At first when they arrived I was disappointed. They looked really cheap and plasticky and were nowhere near as solid as the (md"
293,Nice,5,Nice
294,Amazing,5,
295,Amazing,5,Absolutely astonishing sound for the money. Use mine in a home office and they’re a delight for all kinds of audio.
296,Excellent budget option.,5,Great for work at home boiadcast editors that want affirdable and reasonable quality monitors. Good enough for my BBC projects.
297,Brilliant speakers,5,The sound is reproduced so accurately with the PreSonus Eris E4.5 BT that I rarely use my monitor headphones. The Bluetooth system integrates seamlessly with my computer.
298,Be careful,2,"My rating is more about Amazon than the monitors. I purchased a pair of these from Amazon as they are advertised as ""High Definition"" studio monitors and when i received the item, it was the inferior model that was not high definition. The Hi-Def model clearly states on the box that it is a hi-def edition.
I of course returned the item unopened."
299,Wow are the cases resonant,2,"I've had my pair of E3.5's for about 3 hours as of writing this review. They sound pretty good now.

But to my ears, they didn't before tinkering...

The cases are 1/4"" MDF, sound very resonant when knocked, and could be felt to move due to bass notes. This colours the sound quite a bit with a sort of boxy boomy nonsense going in the upper bass/lower male voice region.

To cure them, opened them up and added sound-deadening mat to the walls as well as a few small cross braces. Fun opening the ri"
300,Pleasantly surprised,5,"I needed a small studio monitor that I could connect my Bluetooth devices, my TV and my desktop computer. This does all 3. It is an amazing device. Easy to set up. The Bluetooth is excellent. The sound quality is just so amazing. I would not recommend for a large space, my place is a 1 bed apartment so the volume is amazing for my place but for a house it will look tiny. I would highly recommend to anyone. The hisss sound only happens when you have an input plugged in, it does not happen on Blue"
301,Powerfull,5,Small but powerful
302,Great for the price,5,Great for the price
303,"Surpassed expectations,",5,"Great small speaker system, Bluetooth was the perfect choice for clutter free operation."
304,Static sound.,1,Static sound from speakers. Tried multiple wires and it changed nothing. Common problem it seems.
305,Decent quality for the money,5,useful for general music and also I use them as home studio speakers - pick up most frequencies pretty well
306,Awesome,5,Awesome
307,Best desktop speakers I have had,5,"I use it as my desktop speakers on Bluetooth mode. Very easy to pair up. And can adjust treble and bass so can tune it to your preference. For the price, I am very happy."
308,".....for the money they are amazing. I'll try that again, 'they are amazing'.",5,"Have been trying to get decent PC speakers for ages, have managed to get decent headphones (AKG K612 Pro), but never decent speakers. The last set I ""upgraded"" to were Creative GigaWorks T40 Series II (2.0), and they were ""ok"", and not cheap. I guess I should have dropped the idea of ""PC speakers"" long ago.

So, after putting up with the ""ok"" Creative Labs effort (don't get me started on the EU power saving garbage), and getting into the habit of perma-wearing headphones. I finally decided to ch"
309,PreSonus Eris E3.5 Multimedia Speakers,5,"You get a lot for your money. Lovely speakers, nice and small, excellent build quality. Volume knob could be bigger, but otherwise, superb"
310,Honestly one of my best purchases of the year,5,"These turned up and I was overwhelmed by the sound quality and accuracy, volume and punchiness of the sound was exactly as expected and for my use in a room about 3x3m they are above and beyond anything else I have tried.
For audio mixing an add in sub would definitely help fill in the lows that these cannot reach but for any hobby listening or as pc speakers as I have them they are more than enough and at a fantastic price point"
311,Sound great with Korg Nautilus synth,4,"Nicely made, came with sticky pads ! Good response across all ranges !! Let down by no TRS leads ! Which I have now had to buy ! Hence only 4 *"
312,Sound quality,4,"Sound was not the best. The levels were not equalised.
Could be better for the price paid."
313,The best small monitors out there,5,"Love these, love the price, love the sound. perfect for my small studio room with enough punch and range to work with"
314,"It's a huge step up from regular speakers, it always feels like I'm in a cinema",5,I haven't found anything I dislike about this product.
315,They're worth the money,5,They'r great quality and they're worth the money
316,Good starting set for any budding musician.,5,"not bad as a starting set of speakers for a home studio, i use these with my focusrite playing ezbass ezdrummer and bias fx2 and will putney stl tonality , all seem to be good ..."
317,Excellent Sound,5,"I work in broadcast - Post Production. These speakers are excellent for the price. I've purchased for my work from home kit. I wouldn't be able to tell the difference between these speakers and the multiple of hundreds of pounds speakers at my work.

Speakers come with phono to 3.5mm jack and 3.5mm to 3.5mm cables."
318,Mmmm or should that be Hummm?,4,"Overall a pretty accurate sound with no peaks, so great budget monitor PC Speakers.....except for the hum. The humming can be heard when playing quiet music. I have got used to it and play music a bit louder which seems to cover the hum as it stays at the same low volume."
319,"NOT a Studio Monitor or anywhere close, but . . .",4,"These are pretty good speakers for the money. But they are not in anyway shape or form ""studio monitors"" - that is just preposterous marketing hype and Presonus should be thoroughly ashamed of themselves, not least because they know perfectly well how to make studio grade gear. These are not that.

My concern is for people thinking they can realistically spend less than a hundred quid and get the kind of flat uncoloured sound a real studio monitor would deliver, but to get that, you're realistic"
320,These are great monitors.,5,"I love the Eris 3.5’s, I already own the Eris E5’s and wanted monitors that would compliment them, I also added the Presonus Sub 8 subwoofer and routed them all through my Presonus Monitor Station V2. I am thrilled at the clarity and depth this set up gives me. We record & mix vocal tracks and needed to hear the various frequencies clearly, this has been achieved. I highly recommend this product.

I am an independant writer producer who mainly worked in large rooms, my home set up was for compos"
321,1 happy teenager,5,Sound incredible
322,Great sound quality for the price,5,For how much it costs the sound quality is great and it also comes with Studio One which is a DAW you can get when you register the speakers
323,Excellent Stereo Image,5,"I didn’t expect much, but once plugged in I was amazed how good the sound is. The stereo image is excellent with a wide sweet spot, and even with limited space and the monitors both in a corner, with the eq adjustment, they perform perfectly for my needs. All in all, a well made product at a great price and excellent sound quality."
324,sounds pretty good,4,"using those while producing sound for film and video and so far so good, happy with the purchase"
